picked_clf = 4 LightGBM,,,,,,,,,,,,,,,,,,,,,,[END]
,Accuracy,$f_1$ score,,,DP,EO,PQP,DR,$\mathbf{df}$,$\hat{\mathbf{df}}$,direct,,,approx,,
,99.5789\topelement$\pm$0.5766,99.5604\topelement$\pm$0.6019,52.2105\topelement$\pm$0.5766,35.2747\topelement$\pm$0.6019,0.3112\topelement$\pm$0.0424,0.0000\topelement$\pm$0.0000,0.0121\topelement$\pm$0.0166,0.5221\topelement$\pm$0.0058,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0016\topelement$\pm$0.0022,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0015\topelement$\pm$0.0019
,77.8750\topelement$\pm$1.1726,86.2892\topelement$\pm$0.6221,10.2750\topelement$\pm$3.9906,11.7147\topelement$\pm$4.7568,0.0189\topelement$\pm$0.0095,0.0016\topelement$\pm$0.0006,0.0666\topelement$\pm$0.0189,0.3438\topelement$\pm$0.1001,-0.0059\topelement$\pm$0.0181,-0.0140\topelement$\pm$0.0135,-0.0059\topelement$\pm$0.0181,-0.0026\topelement$\pm$0.0079,-0.0075\topelement$\pm$0.0005,0.0005\topelement$\pm$0.0112,0.0002\topelement$\pm$0.0049,-0.0071\topelement$\pm$0.0016
,77.8750\topelement$\pm$1.1726,86.2892\topelement$\pm$0.6221,10.2750\topelement$\pm$3.9906,11.7147\topelement$\pm$4.7568,0.0335\topelement$\pm$0.0137,0.0065\topelement$\pm$0.0037,0.1107\topelement$\pm$0.0209,0.3438\topelement$\pm$0.1001,-0.0047\topelement$\pm$0.0105,-0.0120\topelement$\pm$0.0124,-0.0047\topelement$\pm$0.0105,-0.0021\topelement$\pm$0.0046,-0.0073\topelement$\pm$0.0008,-0.0003\topelement$\pm$0.0165,-0.0002\topelement$\pm$0.0072,-0.0061\topelement$\pm$0.0030
,83.3998\topelement$\pm$0.2568,51.6536\topelement$\pm$1.4002,3.8515\topelement$\pm$3.6332,6.6956\topelement$\pm$3.6031,0.0395\topelement$\pm$0.0013,0.0126\topelement$\pm$0.0050,0.0110\topelement$\pm$0.0069,0.1542\topelement$\pm$0.1015,-0.0414\topelement$\pm$0.0218,-0.0132\topelement$\pm$0.0247,-0.0414\topelement$\pm$0.0218,-0.0185\topelement$\pm$0.0099,-0.0170\topelement$\pm$0.0012,0.0026\topelement$\pm$0.0041,0.0011\topelement$\pm$0.0018,0.0220\topelement$\pm$0.0215
,83.3998\topelement$\pm$0.2568,51.6536\topelement$\pm$1.4002,3.8515\topelement$\pm$3.6332,6.6956\topelement$\pm$3.6031,0.0886\topelement$\pm$0.0033,0.0793\topelement$\pm$0.0089,0.0106\topelement$\pm$0.0063,0.1542\topelement$\pm$0.1015,-0.0075\topelement$\pm$0.0160,-0.0037\topelement$\pm$0.0055,-0.0075\topelement$\pm$0.0160,-0.0033\topelement$\pm$0.0071,-0.0073\topelement$\pm$0.0007,-0.0166\topelement$\pm$0.0170,-0.0073\topelement$\pm$0.0075,-0.0049\topelement$\pm$0.0235
,70.0507\topelement$\pm$0.4676,62.9810\topelement$\pm$1.4929,10.0709\topelement$\pm$0.3289,1.4437\topelement$\pm$0.9277,0.1861\topelement$\pm$0.0207,0.1800\topelement$\pm$0.0357,0.0169\topelement$\pm$0.0082,0.3598\topelement$\pm$0.0100,-0.0040\topelement$\pm$0.0078,-0.0875\topelement$\pm$0.1216,-0.0040\topelement$\pm$0.0078,-0.0017\topelement$\pm$0.0034,0.0051\topelement$\pm$0.0103,0.0017\topelement$\pm$0.0039,0.0007\topelement$\pm$0.0017,0.0052\topelement$\pm$0.0283
,70.0507\topelement$\pm$0.4676,62.9810\topelement$\pm$1.4929,10.0709\topelement$\pm$0.3289,1.4437\topelement$\pm$0.9277,0.1891\topelement$\pm$0.0272,0.2192\topelement$\pm$0.0297,0.0377\topelement$\pm$0.0143,0.3598\topelement$\pm$0.0100,-0.0134\topelement$\pm$0.0134,-0.0040\topelement$\pm$0.0126,-0.0114\topelement$\pm$0.0104,-0.0050\topelement$\pm$0.0046,-0.0154\topelement$\pm$0.0139,0.0078\topelement$\pm$0.0077,0.0034\topelement$\pm$0.0033,-0.0192\topelement$\pm$0.0498
,83.8953\topelement$\pm$0.2315,1.9415\topelement$\pm$2.7688,0.1620\topelement$\pm$0.2315,1.9415\topelement$\pm$2.7688,0.0020\topelement$\pm$0.0029,0.0113\topelement$\pm$0.0162,0.4000\topelement$\pm$0.5477,0.0016\topelement$\pm$0.0023,-0.0107\topelement$\pm$0.0625,0.0422\topelement$\pm$0.1220,-0.0107\topelement$\pm$0.0625,-0.0054\topelement$\pm$0.0268,-0.0560\topelement$\pm$0.0042,-0.0436\topelement$\pm$0.0354,-0.0196\topelement$\pm$0.0160,-0.0560\topelement$\pm$0.0322
,83.8953\topelement$\pm$0.2315,1.9415\topelement$\pm$2.7688,0.1620\topelement$\pm$0.2315,1.9415\topelement$\pm$2.7688,0.0008\topelement$\pm$0.0011,0.0048\topelement$\pm$0.0093,0.0000\topelement$\pm$0.0000,0.0016\topelement$\pm$0.0023,-0.0150\topelement$\pm$0.0930,0.0344\topelement$\pm$0.0628,-0.0027\topelement$\pm$0.0253,-0.0013\topelement$\pm$0.0109,-0.0785\topelement$\pm$0.0036,-0.0497\topelement$\pm$0.0294,-0.0223\topelement$\pm$0.0133,-0.0713\topelement$\pm$0.0293
""
,99.5789\topelement$\pm$0.5766,99.5604\topelement$\pm$0.6019,52.2105\topelement$\pm$0.5766,35.2747\topelement$\pm$0.6019,0.3112\topelement$\pm$0.0424,0.0000\topelement$\pm$0.0000,0.0121\topelement$\pm$0.0166,0.5221\topelement$\pm$0.0058,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0016\topelement$\pm$0.0022,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0015\topelement$\pm$0.0019
,77.8750\topelement$\pm$1.1726,86.2892\topelement$\pm$0.6221,10.2750\topelement$\pm$3.9906,11.7147\topelement$\pm$4.7568,0.0189\topelement$\pm$0.0095,0.0016\topelement$\pm$0.0006,0.0666\topelement$\pm$0.0189,0.3438\topelement$\pm$0.1001,-0.0059\topelement$\pm$0.0181,-0.0140\topelement$\pm$0.0135,-0.0059\topelement$\pm$0.0181,-0.0026\topelement$\pm$0.0079,-0.0075\topelement$\pm$0.0005,0.0005\topelement$\pm$0.0112,0.0002\topelement$\pm$0.0049,-0.0071\topelement$\pm$0.0016
,77.8750\topelement$\pm$1.1726,86.2892\topelement$\pm$0.6221,10.2750\topelement$\pm$3.9906,11.7147\topelement$\pm$4.7568,0.0335\topelement$\pm$0.0137,0.0065\topelement$\pm$0.0037,0.1107\topelement$\pm$0.0209,0.3438\topelement$\pm$0.1001,-0.0047\topelement$\pm$0.0105,-0.0120\topelement$\pm$0.0124,-0.0047\topelement$\pm$0.0105,-0.0021\topelement$\pm$0.0046,-0.0073\topelement$\pm$0.0008,-0.0003\topelement$\pm$0.0165,-0.0002\topelement$\pm$0.0072,-0.0061\topelement$\pm$0.0030
,83.3998\topelement$\pm$0.2568,51.6536\topelement$\pm$1.4002,3.8515\topelement$\pm$3.6332,6.6956\topelement$\pm$3.6031,0.0395\topelement$\pm$0.0013,0.0126\topelement$\pm$0.0050,0.0110\topelement$\pm$0.0069,0.1542\topelement$\pm$0.1015,-0.0414\topelement$\pm$0.0218,-0.0132\topelement$\pm$0.0247,-0.0414\topelement$\pm$0.0218,-0.0185\topelement$\pm$0.0099,-0.0170\topelement$\pm$0.0012,0.0026\topelement$\pm$0.0041,0.0011\topelement$\pm$0.0018,0.0220\topelement$\pm$0.0215
,83.3998\topelement$\pm$0.2568,51.6536\topelement$\pm$1.4002,3.8515\topelement$\pm$3.6332,6.6956\topelement$\pm$3.6031,0.0886\topelement$\pm$0.0033,0.0793\topelement$\pm$0.0089,0.0106\topelement$\pm$0.0063,0.1542\topelement$\pm$0.1015,-0.0075\topelement$\pm$0.0160,-0.0037\topelement$\pm$0.0055,-0.0075\topelement$\pm$0.0160,-0.0033\topelement$\pm$0.0071,-0.0073\topelement$\pm$0.0007,-0.0166\topelement$\pm$0.0170,-0.0073\topelement$\pm$0.0075,-0.0049\topelement$\pm$0.0235
,70.0507\topelement$\pm$0.4676,62.9810\topelement$\pm$1.4929,10.0709\topelement$\pm$0.3289,1.4437\topelement$\pm$0.9277,0.1861\topelement$\pm$0.0207,0.1800\topelement$\pm$0.0357,0.0169\topelement$\pm$0.0082,0.3598\topelement$\pm$0.0100,-0.0040\topelement$\pm$0.0078,-0.0875\topelement$\pm$0.1216,-0.0040\topelement$\pm$0.0078,-0.0017\topelement$\pm$0.0034,0.0051\topelement$\pm$0.0103,0.0017\topelement$\pm$0.0039,0.0007\topelement$\pm$0.0017,0.0052\topelement$\pm$0.0283
,70.0507\topelement$\pm$0.4676,62.9810\topelement$\pm$1.4929,10.0709\topelement$\pm$0.3289,1.4437\topelement$\pm$0.9277,0.1891\topelement$\pm$0.0272,0.2192\topelement$\pm$0.0297,0.0377\topelement$\pm$0.0143,0.3598\topelement$\pm$0.0100,-0.0134\topelement$\pm$0.0134,-0.0040\topelement$\pm$0.0126,-0.0114\topelement$\pm$0.0104,-0.0050\topelement$\pm$0.0046,-0.0154\topelement$\pm$0.0139,0.0078\topelement$\pm$0.0077,0.0034\topelement$\pm$0.0033,-0.0192\topelement$\pm$0.0498
,83.8953\topelement$\pm$0.2315,1.9415\topelement$\pm$2.7688,0.1620\topelement$\pm$0.2315,1.9415\topelement$\pm$2.7688,0.0020\topelement$\pm$0.0029,0.0113\topelement$\pm$0.0162,0.4000\topelement$\pm$0.5477,0.0016\topelement$\pm$0.0023,-0.0107\topelement$\pm$0.0625,0.0422\topelement$\pm$0.1220,-0.0107\topelement$\pm$0.0625,-0.0054\topelement$\pm$0.0268,-0.0560\topelement$\pm$0.0042,-0.0436\topelement$\pm$0.0354,-0.0196\topelement$\pm$0.0160,-0.0560\topelement$\pm$0.0322
,83.8953\topelement$\pm$0.2315,1.9415\topelement$\pm$2.7688,0.1620\topelement$\pm$0.2315,1.9415\topelement$\pm$2.7688,0.0008\topelement$\pm$0.0011,0.0048\topelement$\pm$0.0093,0.0000\topelement$\pm$0.0000,0.0016\topelement$\pm$0.0023,-0.0150\topelement$\pm$0.0930,0.0344\topelement$\pm$0.0628,-0.0027\topelement$\pm$0.0253,-0.0013\topelement$\pm$0.0109,-0.0785\topelement$\pm$0.0036,-0.0497\topelement$\pm$0.0294,-0.0223\topelement$\pm$0.0133,-0.0713\topelement$\pm$0.0293
""
picked_clf = 4 LightGBM,,,,,,,,,,,,,,,,,,,,,,[END]
,Precision,Recall,Specificity,,,,DP,EO,PQP,DR,$\mathbf{df}$,$\hat{\mathbf{df}}$,direct,,,approx,,
,99.1304\topelement$\pm$1.1907,100.0000\topelement$\pm$0.0000,99.2000\topelement$\pm$1.0954,51.7620\topelement$\pm$1.1907,0.0000\topelement$\pm$0.0000,99.2000\topelement$\pm$1.0954,0.3112\topelement$\pm$0.0424,0.0000\topelement$\pm$0.0000,0.0121\topelement$\pm$0.0166,0.5221\topelement$\pm$0.0058,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0016\topelement$\pm$0.0022,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0015\topelement$\pm$0.0019
,76.2227\topelement$\pm$1.0077,99.4286\topelement$\pm$0.3194,27.5833\topelement$\pm$4.0973,6.1595\topelement$\pm$2.9998,30.4286\topelement$\pm$10.3113,36.7500\topelement$\pm$11.9584,0.0189\topelement$\pm$0.0095,0.0016\topelement$\pm$0.0006,0.0666\topelement$\pm$0.0189,0.3438\topelement$\pm$0.1001,-0.0059\topelement$\pm$0.0181,-0.0140\topelement$\pm$0.0135,-0.0059\topelement$\pm$0.0181,-0.0026\topelement$\pm$0.0079,-0.0075\topelement$\pm$0.0005,0.0005\topelement$\pm$0.0112,0.0002\topelement$\pm$0.0049,-0.0071\topelement$\pm$0.0016
,76.2227\topelement$\pm$1.0077,99.4286\topelement$\pm$0.3194,27.5833\topelement$\pm$4.0973,6.1595\topelement$\pm$2.9998,30.4286\topelement$\pm$10.3113,36.7500\topelement$\pm$11.9584,0.0335\topelement$\pm$0.0137,0.0065\topelement$\pm$0.0037,0.1107\topelement$\pm$0.0209,0.3438\topelement$\pm$0.1001,-0.0047\topelement$\pm$0.0105,-0.0120\topelement$\pm$0.0124,-0.0047\topelement$\pm$0.0105,-0.0021\topelement$\pm$0.0046,-0.0073\topelement$\pm$0.0008,-0.0003\topelement$\pm$0.0165,-0.0002\topelement$\pm$0.0072,-0.0061\topelement$\pm$0.0030
,93.9019\topelement$\pm$1.1018,35.6451\topelement$\pm$1.4369,99.2275\topelement$\pm$0.1682,32.3272\topelement$\pm$7.5682,22.7068\topelement$\pm$14.2387,12.6539\topelement$\pm$9.2051,0.0395\topelement$\pm$0.0013,0.0126\topelement$\pm$0.0050,0.0110\topelement$\pm$0.0069,0.1542\topelement$\pm$0.1015,-0.0414\topelement$\pm$0.0218,-0.0132\topelement$\pm$0.0247,-0.0414\topelement$\pm$0.0218,-0.0185\topelement$\pm$0.0099,-0.0170\topelement$\pm$0.0012,0.0026\topelement$\pm$0.0041,0.0011\topelement$\pm$0.0018,0.0220\topelement$\pm$0.0215
,93.9019\topelement$\pm$1.1018,35.6451\topelement$\pm$1.4369,99.2275\topelement$\pm$0.1682,32.3272\topelement$\pm$7.5682,22.7068\topelement$\pm$14.2387,12.6539\topelement$\pm$9.2051,0.0886\topelement$\pm$0.0033,0.0793\topelement$\pm$0.0089,0.0106\topelement$\pm$0.0063,0.1542\topelement$\pm$0.1015,-0.0075\topelement$\pm$0.0160,-0.0037\topelement$\pm$0.0055,-0.0075\topelement$\pm$0.0160,-0.0033\topelement$\pm$0.0071,-0.0073\topelement$\pm$0.0007,-0.0166\topelement$\pm$0.0170,-0.0073\topelement$\pm$0.0075,-0.0049\topelement$\pm$0.0235
,72.0710\topelement$\pm$1.0182,56.0053\topelement$\pm$2.8684,81.8013\topelement$\pm$1.7671,17.8933\topelement$\pm$1.1281,22.7313\topelement$\pm$2.6807,37.5140\topelement$\pm$2.0270,0.1861\topelement$\pm$0.0207,0.1800\topelement$\pm$0.0357,0.0169\topelement$\pm$0.0082,0.3598\topelement$\pm$0.0100,-0.0040\topelement$\pm$0.0078,-0.0875\topelement$\pm$0.1216,-0.0040\topelement$\pm$0.0078,-0.0017\topelement$\pm$0.0034,0.0051\topelement$\pm$0.0103,0.0017\topelement$\pm$0.0039,0.0007\topelement$\pm$0.0017,0.0052\topelement$\pm$0.0283
,72.0710\topelement$\pm$1.0182,56.0053\topelement$\pm$2.8684,81.8013\topelement$\pm$1.7671,17.8933\topelement$\pm$1.1281,22.7313\topelement$\pm$2.6807,37.5140\topelement$\pm$2.0270,0.1891\topelement$\pm$0.0272,0.2192\topelement$\pm$0.0297,0.0377\topelement$\pm$0.0143,0.3598\topelement$\pm$0.0100,-0.0134\topelement$\pm$0.0134,-0.0040\topelement$\pm$0.0126,-0.0114\topelement$\pm$0.0104,-0.0050\topelement$\pm$0.0046,-0.0154\topelement$\pm$0.0139,0.0078\topelement$\pm$0.0077,0.0034\topelement$\pm$0.0033,-0.0192\topelement$\pm$0.0498
,40.0000\topelement$\pm$54.7723,0.9962\topelement$\pm$1.4233,100.0000\topelement$\pm$0.0000,40.0000\topelement$\pm$54.7723,0.9962\topelement$\pm$1.4233,0.0000\topelement$\pm$0.0000,0.0020\topelement$\pm$0.0029,0.0113\topelement$\pm$0.0162,0.4000\topelement$\pm$0.5477,0.0016\topelement$\pm$0.0023,-0.0107\topelement$\pm$0.0625,0.0422\topelement$\pm$0.1220,-0.0107\topelement$\pm$0.0625,-0.0054\topelement$\pm$0.0268,-0.0560\topelement$\pm$0.0042,-0.0436\topelement$\pm$0.0354,-0.0196\topelement$\pm$0.0160,-0.0560\topelement$\pm$0.0322
,40.0000\topelement$\pm$54.7723,0.9962\topelement$\pm$1.4233,100.0000\topelement$\pm$0.0000,40.0000\topelement$\pm$54.7723,0.9962\topelement$\pm$1.4233,0.0000\topelement$\pm$0.0000,0.0008\topelement$\pm$0.0011,0.0048\topelement$\pm$0.0093,0.0000\topelement$\pm$0.0000,0.0016\topelement$\pm$0.0023,-0.0150\topelement$\pm$0.0930,0.0344\topelement$\pm$0.0628,-0.0027\topelement$\pm$0.0253,-0.0013\topelement$\pm$0.0109,-0.0785\topelement$\pm$0.0036,-0.0497\topelement$\pm$0.0294,-0.0223\topelement$\pm$0.0133,-0.0713\topelement$\pm$0.0293
""
,99.1304\topelement$\pm$1.1907,100.0000\topelement$\pm$0.0000,99.2000\topelement$\pm$1.0954,51.7620\topelement$\pm$1.1907,0.0000\topelement$\pm$0.0000,99.2000\topelement$\pm$1.0954,0.3112\topelement$\pm$0.0424,0.0000\topelement$\pm$0.0000,0.0121\topelement$\pm$0.0166,0.5221\topelement$\pm$0.0058,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0016\topelement$\pm$0.0022,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0015\topelement$\pm$0.0019
,76.2227\topelement$\pm$1.0077,99.4286\topelement$\pm$0.3194,27.5833\topelement$\pm$4.0973,6.1595\topelement$\pm$2.9998,30.4286\topelement$\pm$10.3113,36.7500\topelement$\pm$11.9584,0.0189\topelement$\pm$0.0095,0.0016\topelement$\pm$0.0006,0.0666\topelement$\pm$0.0189,0.3438\topelement$\pm$0.1001,-0.0059\topelement$\pm$0.0181,-0.0140\topelement$\pm$0.0135,-0.0059\topelement$\pm$0.0181,-0.0026\topelement$\pm$0.0079,-0.0075\topelement$\pm$0.0005,0.0005\topelement$\pm$0.0112,0.0002\topelement$\pm$0.0049,-0.0071\topelement$\pm$0.0016
,76.2227\topelement$\pm$1.0077,99.4286\topelement$\pm$0.3194,27.5833\topelement$\pm$4.0973,6.1595\topelement$\pm$2.9998,30.4286\topelement$\pm$10.3113,36.7500\topelement$\pm$11.9584,0.0335\topelement$\pm$0.0137,0.0065\topelement$\pm$0.0037,0.1107\topelement$\pm$0.0209,0.3438\topelement$\pm$0.1001,-0.0047\topelement$\pm$0.0105,-0.0120\topelement$\pm$0.0124,-0.0047\topelement$\pm$0.0105,-0.0021\topelement$\pm$0.0046,-0.0073\topelement$\pm$0.0008,-0.0003\topelement$\pm$0.0165,-0.0002\topelement$\pm$0.0072,-0.0061\topelement$\pm$0.0030
,93.9019\topelement$\pm$1.1018,35.6451\topelement$\pm$1.4369,99.2275\topelement$\pm$0.1682,32.3272\topelement$\pm$7.5682,22.7068\topelement$\pm$14.2387,12.6539\topelement$\pm$9.2051,0.0395\topelement$\pm$0.0013,0.0126\topelement$\pm$0.0050,0.0110\topelement$\pm$0.0069,0.1542\topelement$\pm$0.1015,-0.0414\topelement$\pm$0.0218,-0.0132\topelement$\pm$0.0247,-0.0414\topelement$\pm$0.0218,-0.0185\topelement$\pm$0.0099,-0.0170\topelement$\pm$0.0012,0.0026\topelement$\pm$0.0041,0.0011\topelement$\pm$0.0018,0.0220\topelement$\pm$0.0215
,93.9019\topelement$\pm$1.1018,35.6451\topelement$\pm$1.4369,99.2275\topelement$\pm$0.1682,32.3272\topelement$\pm$7.5682,22.7068\topelement$\pm$14.2387,12.6539\topelement$\pm$9.2051,0.0886\topelement$\pm$0.0033,0.0793\topelement$\pm$0.0089,0.0106\topelement$\pm$0.0063,0.1542\topelement$\pm$0.1015,-0.0075\topelement$\pm$0.0160,-0.0037\topelement$\pm$0.0055,-0.0075\topelement$\pm$0.0160,-0.0033\topelement$\pm$0.0071,-0.0073\topelement$\pm$0.0007,-0.0166\topelement$\pm$0.0170,-0.0073\topelement$\pm$0.0075,-0.0049\topelement$\pm$0.0235
,72.0710\topelement$\pm$1.0182,56.0053\topelement$\pm$2.8684,81.8013\topelement$\pm$1.7671,17.8933\topelement$\pm$1.1281,22.7313\topelement$\pm$2.6807,37.5140\topelement$\pm$2.0270,0.1861\topelement$\pm$0.0207,0.1800\topelement$\pm$0.0357,0.0169\topelement$\pm$0.0082,0.3598\topelement$\pm$0.0100,-0.0040\topelement$\pm$0.0078,-0.0875\topelement$\pm$0.1216,-0.0040\topelement$\pm$0.0078,-0.0017\topelement$\pm$0.0034,0.0051\topelement$\pm$0.0103,0.0017\topelement$\pm$0.0039,0.0007\topelement$\pm$0.0017,0.0052\topelement$\pm$0.0283
,72.0710\topelement$\pm$1.0182,56.0053\topelement$\pm$2.8684,81.8013\topelement$\pm$1.7671,17.8933\topelement$\pm$1.1281,22.7313\topelement$\pm$2.6807,37.5140\topelement$\pm$2.0270,0.1891\topelement$\pm$0.0272,0.2192\topelement$\pm$0.0297,0.0377\topelement$\pm$0.0143,0.3598\topelement$\pm$0.0100,-0.0134\topelement$\pm$0.0134,-0.0040\topelement$\pm$0.0126,-0.0114\topelement$\pm$0.0104,-0.0050\topelement$\pm$0.0046,-0.0154\topelement$\pm$0.0139,0.0078\topelement$\pm$0.0077,0.0034\topelement$\pm$0.0033,-0.0192\topelement$\pm$0.0498
