df
,98.2609\topelement$\pm$3.8888,98.3333\topelement$\pm$3.7268,50.4348\topelement$\pm$3.8888,33.6275\topelement$\pm$3.7268,0.5043\topelement$\pm$0.0389,0.5043\topelement$\pm$0.0389,0.0000\topelement$\pm$0.0000,0.0005\topelement$\pm$0.0010
,73.6000\topelement$\pm$1.5572,83.7492\topelement$\pm$0.8148,6.3000\topelement$\pm$2.1679,9.2331\topelement$\pm$3.7464,0.3410\topelement$\pm$0.0948,0.3410\topelement$\pm$0.0948,0.0046\topelement$\pm$0.0060,-0.0070\topelement$\pm$0.0017
,83.4986\topelement$\pm$0.2480,52.5044\topelement$\pm$1.3652,3.8501\topelement$\pm$3.6916,7.3355\topelement$\pm$2.3282,0.1621\topelement$\pm$0.1075,0.1621\topelement$\pm$0.1075,-0.0037\topelement$\pm$0.0080,-0.0101\topelement$\pm$0.0025
,67.7435\topelement$\pm$0.4163,60.1605\topelement$\pm$0.7114,7.7922\topelement$\pm$1.2757,3.9976\topelement$\pm$1.2099,0.3656\topelement$\pm$0.0235,0.3656\topelement$\pm$0.0235,0.0122\topelement$\pm$0.0319,-0.0105\topelement$\pm$0.0091
,83.8202\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0499\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0010\topelement$\pm$0.0010,0.0010\topelement$\pm$0.0010,-0.0179\topelement$\pm$0.0365,-0.0445\topelement$\pm$0.0079
""
,98.2609\topelement$\pm$3.8888,98.3333\topelement$\pm$3.7268,50.4348\topelement$\pm$3.8888,33.6275\topelement$\pm$3.7268,0.5043\topelement$\pm$0.0389,0.5043\topelement$\pm$0.0389,0.0000\topelement$\pm$0.0000,0.0005\topelement$\pm$0.0010
,73.6000\topelement$\pm$1.5572,83.7492\topelement$\pm$0.8148,6.3000\topelement$\pm$2.1679,9.2331\topelement$\pm$3.7464,0.3410\topelement$\pm$0.0948,0.3410\topelement$\pm$0.0948,0.0046\topelement$\pm$0.0060,-0.0070\topelement$\pm$0.0017
,83.4986\topelement$\pm$0.2480,52.5044\topelement$\pm$1.3652,3.8501\topelement$\pm$3.6916,7.3355\topelement$\pm$2.3282,0.1621\topelement$\pm$0.1075,0.1621\topelement$\pm$0.1075,-0.0037\topelement$\pm$0.0080,-0.0101\topelement$\pm$0.0025
,67.7435\topelement$\pm$0.4163,60.1605\topelement$\pm$0.7114,7.7922\topelement$\pm$1.2757,3.9976\topelement$\pm$1.2099,0.3656\topelement$\pm$0.0235,0.3656\topelement$\pm$0.0235,0.0122\topelement$\pm$0.0319,-0.0105\topelement$\pm$0.0091
,83.8202\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0499\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0010\topelement$\pm$0.0010,0.0010\topelement$\pm$0.0010,-0.0179\topelement$\pm$0.0365,-0.0445\topelement$\pm$0.0079
""
""
""
""
df_nonbin
,98.2609\topelement$\pm$3.8888,98.3333\topelement$\pm$3.7268,50.4348\topelement$\pm$3.8888,33.6275\topelement$\pm$3.7268,0.3634\topelement$\pm$0.2261,0.2000\topelement$\pm$0.4472,0.2500\topelement$\pm$0.4330,0.3462\topelement$\pm$0.1061,0.5043\topelement$\pm$0.0389,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0005\topelement$\pm$0.0010
,83.4986\topelement$\pm$0.2480,52.5044\topelement$\pm$1.3652,3.8501\topelement$\pm$3.6916,7.3355\topelement$\pm$2.3282,0.0406\topelement$\pm$0.0154,0.0470\topelement$\pm$0.0299,0.0167\topelement$\pm$0.0098,0.0709\topelement$\pm$0.0136,0.1621\topelement$\pm$0.1075,-0.0182\topelement$\pm$0.0489,-0.0084\topelement$\pm$0.0217,-0.0160\topelement$\pm$0.0047
,67.7435\topelement$\pm$0.4163,60.1605\topelement$\pm$0.7114,7.7922\topelement$\pm$1.2757,3.9976\topelement$\pm$1.2099,0.2001\topelement$\pm$0.0473,0.2392\topelement$\pm$0.0528,0.0567\topelement$\pm$0.0419,0.2203\topelement$\pm$0.0899,0.3656\topelement$\pm$0.0235,-0.0082\topelement$\pm$0.0113,0.0122\topelement$\pm$0.0319,-0.0110\topelement$\pm$0.0125
,83.8202\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0499\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0016\topelement$\pm$0.0016,0.0063\topelement$\pm$0.0058,0.5000\topelement$\pm$0.5000,0.0011\topelement$\pm$0.0011,0.0010\topelement$\pm$0.0010,0.0169\topelement$\pm$0.0419,-0.0179\topelement$\pm$0.0365,-0.0379\topelement$\pm$0.0026
""
,98.2609\topelement$\pm$3.8888,98.3333\topelement$\pm$3.7268,50.4348\topelement$\pm$3.8888,33.6275\topelement$\pm$3.7268,0.3634\topelement$\pm$0.2261,0.2000\topelement$\pm$0.4472,0.2500\topelement$\pm$0.4330,0.3462\topelement$\pm$0.1061,0.5043\topelement$\pm$0.0389,0.0000\topelement$\pm$0.0000,0.0000\topelement$\pm$0.0000,0.0005\topelement$\pm$0.0010
,83.4986\topelement$\pm$0.2480,52.5044\topelement$\pm$1.3652,3.8501\topelement$\pm$3.6916,7.3355\topelement$\pm$2.3282,0.0406\topelement$\pm$0.0154,0.0470\topelement$\pm$0.0299,0.0167\topelement$\pm$0.0098,0.0709\topelement$\pm$0.0136,0.1621\topelement$\pm$0.1075,-0.0182\topelement$\pm$0.0489,-0.0084\topelement$\pm$0.0217,-0.0160\topelement$\pm$0.0047
,67.7435\topelement$\pm$0.4163,60.1605\topelement$\pm$0.7114,7.7922\topelement$\pm$1.2757,3.9976\topelement$\pm$1.2099,0.2001\topelement$\pm$0.0473,0.2392\topelement$\pm$0.0528,0.0567\topelement$\pm$0.0419,0.2203\topelement$\pm$0.0899,0.3656\topelement$\pm$0.0235,-0.0082\topelement$\pm$0.0113,0.0122\topelement$\pm$0.0319,-0.0110\topelement$\pm$0.0125
,83.8202\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0499\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0016\topelement$\pm$0.0016,0.0063\topelement$\pm$0.0058,0.5000\topelement$\pm$0.5000,0.0011\topelement$\pm$0.0011,0.0010\topelement$\pm$0.0010,0.0169\topelement$\pm$0.0419,-0.0179\topelement$\pm$0.0365,-0.0379\topelement$\pm$0.0026
""
